publication_date,article_count
2022-06-20,1
2022-06-22,1
2022-06-24,2
2022-06-26,1
2022-06-29,1
2022-06-30,1
2022-07-01,1
2022-07-05,4
2022-07-06,2
2022-07-07,1
2022-07-08,1
2022-07-11,2
2022-07-12,2
2022-07-13,1
2022-07-14,1
2022-07-17,1
2022-07-20,5
2022-07-21,2
2022-07-22,3
2022-07-24,2
2022-07-25,1
2022-07-28,1
2022-08-03,1
2022-08-04,1
2022-08-08,1
2022-08-10,2
2022-08-11,1
2022-08-14,1
2022-08-16,1
2022-08-18,2
2022-08-21,1
2022-08-22,2
2022-08-23,1
2022-08-24,3
2022-08-25,1
2022-08-30,5
2022-09-01,1
2022-09-02,2
2022-09-06,1
2022-09-07,3
2022-09-09,2
2022-09-11,1
2022-09-14,1
2022-09-15,2
2022-09-16,3
2022-09-20,1
2022-09-21,1
2022-09-22,1
2022-09-23,1
2022-09-24,1
2022-09-27,1
2022-09-28,1
2022-09-29,1
2022-09-30,1
2022-10-03,2
2022-10-04,1
2022-10-05,3
2022-10-10,2
2022-10-11,1
2022-10-12,6
2022-10-13,7
2022-10-14,3
2022-10-17,2
2022-10-18,1
2022-10-19,3
2022-10-20,1
2022-10-24,2
2022-10-25,1
2022-10-27,5
2022-10-28,2
2022-10-31,1
2022-11-01,1
2022-11-03,2
2022-11-04,3
2022-11-08,1
2022-11-09,4
2022-11-10,1
2022-11-11,3
2022-11-14,1
2022-11-16,2
2022-11-17,4
2022-11-18,3
2022-11-21,6
2022-11-22,8
2022-11-23,2
2022-11-28,2
2022-11-29,1
2022-11-30,1
2022-12-06,2
2022-12-07,2
2022-12-08,3
2022-12-09,3
2022-12-12,6
2022-12-13,1
2022-12-14,2
2022-12-16,1
2022-12-17,1
2022-12-19,4
2022-12-20,1
2022-12-21,2
2022-12-23,3
2022-12-27,2
2022-12-28,4
2022-12-29,3
2022-12-30,1
2023-01-03,3
2023-01-04,4
2023-01-05,4
2023-01-06,4
2023-01-09,7
2023-01-10,4
2023-01-11,5
2023-01-12,6
2023-01-13,1
2023-01-15,1
2023-01-16,4
2023-01-17,1
2023-01-18,7
2023-01-19,5
2023-01-20,4
2023-01-23,4
2023-01-25,2
2023-01-26,5
2023-01-27,2
2023-01-30,3
2023-01-31,3
2023-02-01,2
2023-02-02,4
2023-02-03,3
2023-02-07,1
2023-02-08,3
2023-02-09,3
2023-02-10,5
2023-02-13,1
2023-02-14,2
2023-02-15,2
2023-02-16,4
2023-02-17,3
2023-02-21,2
2023-02-22,4
2023-02-23,3
2023-02-24,4
2023-02-27,2
2023-02-28,4
2023-03-01,1
2023-03-02,6
2023-03-03,3
2023-03-06,2
2023-03-07,3
2023-03-08,1
2023-03-09,5
2023-03-10,3
2023-03-13,1
2023-03-14,5
2023-03-15,1
2023-03-16,1
2023-03-20,2
2023-03-21,2
2023-03-23,2
2023-03-24,1
2023-03-27,1
2023-03-29,1
2023-03-30,3
2023-03-31,3
2023-04-03,2
2023-04-04,1
2023-04-06,4
2023-04-11,2
2023-04-13,1
2023-04-14,3
2023-04-17,1
2023-04-18,1
2023-04-19,3
2023-04-20,2
2023-04-21,3
2023-04-24,3
2023-04-25,2
2023-04-26,1
2023-04-27,5
2023-05-01,1
2023-05-02,2
2023-05-03,3
2023-05-04,8
2023-05-05,8
2023-05-06,1
2023-05-08,6
2023-05-09,5
2023-05-10,4
2023-05-11,5
2023-05-12,4
2023-05-15,8
2023-05-16,7
